Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.0001,5.00E+07,1.084,1.48,1.735,2.734,2.739,2.836,2.857,2.902
0.0002,5.00E+07,1.09,1.468,1.711,2.657,2.657,2.732,2.741,2.738
0.0003,5.00E+07,1.084,1.439,1.672,2.582,2.576,2.636,2.634,2.595
0.0004,5.00E+07,1.096,1.441,1.667,2.552,2.543,2.591,2.583,2.519
0.0005,5.00E+07,1.106,1.444,1.666,2.534,2.524,2.564,2.551,2.472
0.0006,5.00E+07,1.105,1.44,1.657,2.502,2.489,2.52,2.501,2.405
0.0007,5.00E+07,1.109,1.443,1.657,2.484,2.468,2.493,2.469,2.357
0.0008,5.00E+07,1.114,1.449,1.658,2.469,2.452,2.469,2.443,2.318
0.0009,5.00E+07,1.122,1.457,1.664,2.462,2.443,2.456,2.425,2.29
0.001,5.00E+07,1.13,1.467,1.673,2.46,2.441,2.448,2.416,2.272
0.0011,5.00E+07,1.122,1.463,1.665,2.43,2.408,2.408,2.371,2.211
0.0012,5.00E+07,1.108,1.454,1.652,2.388,2.364,2.357,2.315,2.144
0.0013,5.00E+07,1.096,1.455,1.649,2.362,2.335,2.314,2.264,2.066
0.0014,5.00E+07,1.088,1.454,1.647,2.347,2.318,2.29,2.236,2.027
0.0015,5.00E+07,1.082,1.455,1.647,2.336,2.305,2.271,2.214,1.994
0.0016,5.00E+07,1.081,1.459,1.649,2.329,2.297,2.259,2.2,1.973
0.0017,5.00E+07,1.09,1.472,1.663,2.342,2.309,2.268,2.207,1.974
0.0018,5.00E+07,1.109,1.491,1.683,2.364,2.332,2.291,2.23,1.995
0.0019,5.00E+07,1.136,1.516,1.71,2.396,2.365,2.325,2.264,2.031
0.002,5.00E+07,1.174,1.549,1.745,2.438,2.407,2.37,2.312,2.083
0.0021,5.00E+07,1.181,1.555,1.751,2.448,2.417,2.378,2.318,2.085
0.0022,5.00E+07,1.187,1.561,1.757,2.455,2.424,2.382,2.32,2.082
0.0023,5.00E+07,1.193,1.567,1.762,2.463,2.431,2.386,2.322,2.079
0.0024,5.00E+07,1.198,1.572,1.767,2.47,2.437,2.39,2.325,2.076
0.0025,5.00E+07,1.203,1.576,1.772,2.478,2.444,2.394,2.327,2.073
0.0026,5.00E+07,1.207,1.581,1.776,2.485,2.451,2.398,2.33,2.07
0.0027,5.00E+07,1.211,1.584,1.779,2.493,2.458,2.402,2.332,2.068
0.0028,5.00E+07,1.215,1.588,1.783,2.5,2.464,2.407,2.335,2.066
0.0029,5.00E+07,1.219,1.591,1.786,2.507,2.471,2.411,2.338,2.064
0.003,5.00E+07,1.223,1.594,1.789,2.514,2.477,2.415,2.34,2.063
0.0031,5.00E+07,1.226,1.596,1.791,2.52,2.483,2.419,2.343,2.061
0.0032,5.00E+07,1.23,1.598,1.793,2.526,2.489,2.423,2.346,2.06
0.0033,5.00E+07,1.233,1.6,1.795,2.532,2.494,2.427,2.348,2.06
0.0034,5.00E+07,1.236,1.602,1.797,2.538,2.5,2.431,2.351,2.059
0.0035,5.00E+07,1.239,1.604,1.799,2.544,2.505,2.434,2.354,2.058
0.0036,5.00E+07,1.241,1.605,1.8,2.549,2.51,2.438,2.356,2.058
0.0037,5.00E+07,1.244,1.606,1.801,2.554,2.515,2.442,2.359,2.057
0.0038,5.00E+07,1.246,1.607,1.802,2.559,2.519,2.445,2.362,2.057
0.0039,5.00E+07,1.249,1.608,1.803,2.564,2.524,2.448,2.364,2.057
0.004,5.00E+07,1.252,1.61,1.805,2.569,2.529,2.453,2.368,2.059
0.0041,5.00E+07,1.255,1.609,1.804,2.565,2.526,2.452,2.368,2.062
0.0042,5.00E+07,1.258,1.609,1.803,2.562,2.523,2.451,2.369,2.065
0.0043,5.00E+07,1.261,1.608,1.802,2.559,2.521,2.451,2.369,2.068
0.0044,5.00E+07,1.264,1.608,1.801,2.556,2.518,2.45,2.369,2.071
0.0045,5.00E+07,1.266,1.607,1.8,2.553,2.516,2.45,2.37,2.074
0.0046,5.00E+07,1.269,1.606,1.799,2.55,2.514,2.449,2.37,2.077
0.0047,5.00E+07,1.271,1.606,1.798,2.548,2.512,2.449,2.371,2.08
0.0048,5.00E+07,1.274,1.605,1.796,2.545,2.51,2.449,2.372,2.082
0.0049,5.00E+07,1.276,1.604,1.795,2.543,2.509,2.449,2.372,2.085
0.005,5.00E+07,1.278,1.604,1.794,2.541,2.507,2.449,2.373,2.088
0.0051,5.00E+07,1.281,1.603,1.793,2.539,2.506,2.449,2.374,2.091
0.0052,5.00E+07,1.283,1.603,1.792,2.537,2.504,2.449,2.375,2.093
0.0053,5.00E+07,1.285,1.602,1.791,2.535,2.503,2.449,2.376,2.096
0.0054,5.00E+07,1.287,1.601,1.791,2.534,2.502,2.449,2.377,2.098
0.0055,5.00E+07,1.289,1.601,1.79,2.532,2.501,2.449,2.378,2.101
0.0056,5.00E+07,1.292,1.6,1.789,2.531,2.499,2.449,2.379,2.104
0.0057,5.00E+07,1.294,1.6,1.788,2.529,2.499,2.45,2.38,2.106
0.0058,5.00E+07,1.296,1.599,1.787,2.528,2.498,2.45,2.381,2.108
0.0059,5.00E+07,1.298,1.599,1.786,2.527,2.497,2.451,2.382,2.111
0.006,5.00E+07,1.3,1.598,1.786,2.526,2.496,2.451,2.383,2.113
0.0061,5.00E+07,1.3,1.596,1.784,2.529,2.499,2.455,2.387,2.116
0.0062,5.00E+07,1.3,1.594,1.781,2.527,2.498,2.455,2.386,2.115
0.0063,5.00E+07,1.299,1.59,1.777,2.521,2.492,2.449,2.382,2.113
0.0064,5.00E+07,1.298,1.587,1.773,2.515,2.486,2.445,2.377,2.109
0.0065,5.00E+07,1.297,1.585,1.77,2.51,2.482,2.441,2.374,2.106
0.0066,5.00E+07,1.297,1.583,1.768,2.507,2.478,2.438,2.371,2.104
0.0067,5.00E+07,1.298,1.581,1.766,2.504,2.476,2.436,2.369,2.102
0.0068,5.00E+07,1.299,1.58,1.764,2.501,2.474,2.434,2.368,2.102
0.0069,5.00E+07,1.301,1.58,1.763,2.5,2.472,2.433,2.367,2.102
0.007,5.00E+07,1.303,1.58,1.763,2.499,2.471,2.433,2.367,2.103
0.0071,5.00E+07,1.305,1.58,1.762,2.498,2.471,2.434,2.368,2.105
0.0072,5.00E+07,1.307,1.58,1.762,2.499,2.472,2.434,2.369,2.107
0.0073,5.00E+07,1.31,1.581,1.763,2.499,2.473,2.436,2.371,2.109
0.0074,5.00E+07,1.314,1.582,1.764,2.5,2.474,2.438,2.373,2.112
0.0075,5.00E+07,1.317,1.583,1.764,2.502,2.476,2.44,2.377,2.117
0.0076,5.00E+07,1.321,1.584,1.765,2.504,2.478,2.444,2.381,2.123
0.0077,5.00E+07,1.326,1.585,1.766,2.506,2.48,2.448,2.385,2.13
0.0078,5.00E+07,1.33,1.586,1.767,2.508,2.483,2.452,2.39,2.137
0.0079,5.00E+07,1.334,1.588,1.768,2.511,2.486,2.456,2.395,2.144
0.008,5.00E+07,1.338,1.589,1.77,2.514,2.489,2.46,2.4,2.151
0.0081,5.00E+07,1.341,1.59,1.77,2.514,2.49,2.462,2.403,2.155
0.0082,5.00E+07,1.344,1.591,1.77,2.514,2.489,2.462,2.403,2.156
0.0083,5.00E+07,1.346,1.592,1.771,2.513,2.489,2.462,2.403,2.156
0.0084,5.00E+07,1.348,1.592,1.771,2.513,2.489,2.462,2.403,2.157
0.0085,5.00E+07,1.35,1.593,1.771,2.512,2.488,2.461,2.403,2.157
0.0086,5.00E+07,1.351,1.593,1.772,2.512,2.488,2.461,2.403,2.158
0.0087,5.00E+07,1.353,1.594,1.772,2.511,2.487,2.461,2.403,2.158
0.0088,5.00E+07,1.355,1.594,1.772,2.51,2.487,2.461,2.403,2.159
0.0089,5.00E+07,1.357,1.595,1.772,2.51,2.486,2.46,2.403,2.159
0.009,5.00E+07,1.359,1.596,1.772,2.509,2.486,2.46,2.403,2.16
0.0091,5.00E+07,1.36,1.596,1.772,2.509,2.485,2.46,2.403,2.16
0.0092,5.00E+07,1.362,1.597,1.773,2.508,2.485,2.46,2.403,2.16
0.0093,5.00E+07,1.363,1.597,1.773,2.507,2.484,2.459,2.402,2.161
0.0094,5.00E+07,1.365,1.597,1.773,2.507,2.483,2.459,2.402,2.161
0.0095,5.00E+07,1.366,1.598,1.773,2.506,2.483,2.458,2.402,2.161
0.0096,5.00E+07,1.368,1.598,1.773,2.505,2.482,2.458,2.402,2.161
0.0097,5.00E+07,1.369,1.598,1.773,2.504,2.482,2.458,2.402,2.161
0.0098,5.00E+07,1.371,1.598,1.772,2.504,2.481,2.457,2.401,2.162
0.0099,5.00E+07,1.372,1.599,1.772,2.503,2.48,2.457,2.401,2.162
0.01,5.00E+07,1.373,1.599,1.772,2.502,2.479,2.456,2.401,2.162
0.0101,5.00E+07,1.376,1.6,1.773,2.502,2.48,2.457,2.403,2.165
0.0102,5.00E+07,1.378,1.601,1.774,2.502,2.48,2.457,2.403,2.165
0.0103,5.00E+07,1.38,1.602,1.775,2.502,2.48,2.457,2.403,2.165
0.0104,5.00E+07,1.382,1.603,1.775,2.502,2.48,2.457,2.403,2.166
0.0105,5.00E+07,1.383,1.605,1.776,2.502,2.48,2.457,2.403,2.166
0.0106,5.00E+07,1.385,1.606,1.777,2.502,2.48,2.457,2.403,2.166
0.0107,5.00E+07,1.387,1.607,1.777,2.502,2.48,2.457,2.403,2.167
0.0108,5.00E+07,1.389,1.608,1.778,2.502,2.48,2.457,2.403,2.167
0.0109,5.00E+07,1.39,1.609,1.779,2.502,2.48,2.457,2.403,2.167
0.011,5.00E+07,1.392,1.61,1.779,2.502,2.48,2.457,2.403,2.167
0.0111,5.00E+07,1.394,1.611,1.78,2.502,2.48,2.457,2.403,2.168
0.0112,5.00E+07,1.395,1.612,1.781,2.502,2.48,2.457,2.404,2.168
0.0113,5.00E+07,1.397,1.613,1.781,2.502,2.48,2.457,2.404,2.168
0.0114,5.00E+07,1.399,1.614,1.782,2.502,2.48,2.458,2.404,2.169
0.0115,5.00E+07,1.4,1.615,1.783,2.502,2.48,2.457,2.404,2.169
0.0116,5.00E+07,1.402,1.616,1.783,2.502,2.48,2.458,2.404,2.169
0.0117,5.00E+07,1.403,1.617,1.784,2.503,2.48,2.458,2.404,2.169
0.0118,5.00E+07,1.405,1.618,1.785,2.503,2.48,2.458,2.404,2.17
0.0119,5.00E+07,1.407,1.618,1.785,2.503,2.48,2.458,2.405,2.17
0.012,5.00E+07,1.408,1.619,1.786,2.503,2.48,2.458,2.405,2.17
0.0121,5.00E+07,1.41,1.62,1.787,2.503,2.48,2.458,2.405,2.17
0.0122,5.00E+07,1.411,1.621,1.787,2.503,2.48,2.458,2.405,2.171
0.0123,5.00E+07,1.413,1.622,1.788,2.503,2.481,2.458,2.405,2.171
0.0124,5.00E+07,1.414,1.623,1.788,2.503,2.481,2.458,2.405,2.171
0.0125,5.00E+07,1.416,1.624,1.789,2.503,2.481,2.458,2.406,2.171
0.0126,5.00E+07,1.417,1.625,1.789,2.503,2.481,2.459,2.406,2.172
0.0127,5.00E+07,1.419,1.625,1.79,2.503,2.481,2.459,2.406,2.172
0.0128,5.00E+07,1.42,1.626,1.791,2.504,2.481,2.459,2.406,2.172
0.0129,5.00E+07,1.421,1.627,1.791,2.504,2.481,2.459,2.406,2.173
0.013,5.00E+07,1.423,1.628,1.792,2.504,2.481,2.459,2.407,2.173
0.0131,5.00E+07,1.424,1.629,1.792,2.504,2.481,2.459,2.407,2.173
0.0132,5.00E+07,1.426,1.63,1.793,2.504,2.482,2.459,2.407,2.173
0.0133,5.00E+07,1.427,1.63,1.793,2.504,2.482,2.459,2.407,2.174
0.0134,5.00E+07,1.428,1.631,1.794,2.504,2.482,2.46,2.407,2.174
0.0135,5.00E+07,1.43,1.632,1.794,2.504,2.482,2.46,2.408,2.174
0.0136,5.00E+07,1.431,1.633,1.795,2.505,2.482,2.46,2.408,2.174
0.0137,5.00E+07,1.432,1.633,1.795,2.505,2.482,2.46,2.408,2.175
0.0138,5.00E+07,1.434,1.634,1.796,2.505,2.483,2.46,2.408,2.175
0.0139,5.00E+07,1.435,1.635,1.796,2.505,2.483,2.46,2.409,2.175
0.014,5.00E+07,1.436,1.636,1.797,2.505,2.483,2.461,2.409,2.175
0.0141,5.00E+07,1.438,1.637,1.797,2.505,2.482,2.46,2.408,2.174
0.0142,5.00E+07,1.439,1.637,1.797,2.504,2.482,2.459,2.407,2.173
0.0143,5.00E+07,1.44,1.638,1.798,2.504,2.481,2.458,2.406,2.172
0.0144,5.00E+07,1.441,1.639,1.798,2.503,2.48,2.457,2.405,2.17
0.0145,5.00E+07,1.442,1.639,1.798,2.503,2.48,2.456,2.404,2.169
0.0146,5.00E+07,1.442,1.64,1.799,2.502,2.479,2.455,2.403,2.168
0.0147,5.00E+07,1.443,1.64,1.799,2.502,2.479,2.454,2.402,2.167
0.0148,5.00E+07,1.444,1.641,1.799,2.501,2.478,2.453,2.401,2.165
0.0149,5.00E+07,1.445,1.642,1.8,2.501,2.478,2.452,2.4,2.164
0.015,5.00E+07,1.446,1.642,1.8,2.501,2.477,2.451,2.399,2.163
0.0151,5.00E+07,1.447,1.643,1.8,2.5,2.477,2.451,2.398,2.162
0.0152,5.00E+07,1.448,1.644,1.801,2.5,2.477,2.45,2.397,2.16
0.0153,5.00E+07,1.449,1.644,1.801,2.5,2.476,2.449,2.396,2.159
0.0154,5.00E+07,1.45,1.645,1.801,2.5,2.476,2.448,2.396,2.158
0.0155,5.00E+07,1.451,1.645,1.802,2.5,2.476,2.448,2.395,2.157
0.0156,5.00E+07,1.452,1.646,1.802,2.5,2.475,2.447,2.394,2.156
0.0157,5.00E+07,1.453,1.647,1.802,2.5,2.475,2.447,2.393,2.154
0.0158,5.00E+07,1.454,1.647,1.803,2.5,2.475,2.446,2.393,2.153
0.0159,5.00E+07,1.454,1.648,1.803,2.499,2.475,2.445,2.392,2.152
0.016,5.00E+07,1.455,1.648,1.803,2.499,2.475,2.445,2.391,2.151
0.0161,5.00E+07,1.456,1.649,1.804,2.5,2.475,2.444,2.391,2.15
0.0162,5.00E+07,1.457,1.649,1.804,2.5,2.475,2.444,2.39,2.149
0.0163,5.00E+07,1.458,1.65,1.804,2.5,2.475,2.443,2.389,2.148
0.0164,5.00E+07,1.459,1.651,1.805,2.5,2.475,2.443,2.389,2.146
0.0165,5.00E+07,1.46,1.651,1.805,2.5,2.475,2.442,2.388,2.145
0.0166,5.00E+07,1.461,1.652,1.805,2.5,2.475,2.442,2.387,2.144
0.0167,5.00E+07,1.461,1.652,1.805,2.5,2.475,2.442,2.387,2.143
0.0168,5.00E+07,1.462,1.653,1.806,2.501,2.475,2.441,2.386,2.142
0.0169,5.00E+07,1.463,1.653,1.806,2.501,2.475,2.441,2.386,2.141
0.017,5.00E+07,1.464,1.654,1.806,2.501,2.475,2.44,2.385,2.14
0.0171,5.00E+07,1.465,1.655,1.807,2.503,2.476,2.441,2.386,2.14
0.0172,5.00E+07,1.467,1.656,1.808,2.504,2.478,2.442,2.386,2.14
0.0173,5.00E+07,1.468,1.657,1.809,2.506,2.479,2.443,2.387,2.14
0.0174,5.00E+07,1.469,1.658,1.81,2.508,2.481,2.444,2.388,2.139
0.0175,5.00E+07,1.47,1.659,1.81,2.509,2.482,2.445,2.388,2.139
0.0176,5.00E+07,1.472,1.659,1.811,2.511,2.484,2.445,2.389,2.138
0.0177,5.00E+07,1.473,1.66,1.812,2.513,2.485,2.446,2.389,2.138
0.0178,5.00E+07,1.474,1.661,1.813,2.514,2.486,2.447,2.39,2.138
0.0179,5.00E+07,1.475,1.662,1.813,2.516,2.488,2.448,2.39,2.137
0.018,5.00E+07,1.476,1.663,1.814,2.518,2.489,2.449,2.391,2.137
0.0181,5.00E+07,1.477,1.664,1.815,2.519,2.491,2.45,2.391,2.136
0.0182,5.00E+07,1.479,1.665,1.815,2.521,2.492,2.451,2.392,2.136
0.0183,5.00E+07,1.48,1.665,1.816,2.523,2.494,2.451,2.393,2.136
0.0184,5.00E+07,1.481,1.666,1.817,2.524,2.495,2.452,2.393,2.135
0.0185,5.00E+07,1.482,1.667,1.817,2.526,2.497,2.453,2.394,2.135
0.0186,5.00E+07,1.483,1.668,1.818,2.528,2.498,2.454,2.394,2.135
0.0187,5.00E+07,1.484,1.669,1.819,2.529,2.5,2.455,2.395,2.134
0.0188,5.00E+07,1.485,1.669,1.82,2.531,2.501,2.456,2.396,2.134
0.0189,5.00E+07,1.487,1.67,1.82,2.533,2.503,2.457,2.396,2.134
0.019,5.00E+07,1.488,1.671,1.821,2.534,2.504,2.458,2.397,2.134
0.0191,5.00E+07,1.489,1.672,1.822,2.536,2.505,2.459,2.398,2.133
0.0192,5.00E+07,1.49,1.672,1.822,2.537,2.507,2.46,2.398,2.133
0.0193,5.00E+07,1.491,1.673,1.823,2.539,2.508,2.461,2.399,2.133
0.0194,5.00E+07,1.492,1.674,1.824,2.541,2.51,2.462,2.4,2.133
0.0195,5.00E+07,1.493,1.675,1.824,2.542,2.511,2.463,2.401,2.133
0.0196,5.00E+07,1.494,1.675,1.825,2.544,2.512,2.464,2.401,2.132
0.0197,5.00E+07,1.495,1.676,1.826,2.545,2.514,2.465,2.402,2.132
0.0198,5.00E+07,1.496,1.677,1.826,2.547,2.515,2.466,2.403,2.132
0.0199,5.00E+07,1.497,1.677,1.827,2.548,2.516,2.467,2.404,2.132
0.02,5.00E+07,1.498,1.678,1.827,2.55,2.518,2.468,2.404,2.132
0.0201,5.00E+07,1.493,1.672,1.823,2.553,2.521,2.469,2.405,2.128
0.0202,5.00E+07,1.493,1.672,1.822,2.556,2.523,2.471,2.407,2.129
0.0203,5.00E+07,1.494,1.671,1.822,2.558,2.525,2.473,2.409,2.13
0.0204,5.00E+07,1.494,1.671,1.822,2.56,2.527,2.475,2.41,2.13
0.0205,5.00E+07,1.494,1.671,1.822,2.562,2.529,2.477,2.412,2.131
0.0206,5.00E+07,1.495,1.67,1.822,2.564,2.531,2.479,2.414,2.132
0.0207,5.00E+07,1.495,1.67,1.821,2.566,2.533,2.481,2.415,2.133
0.0208,5.00E+07,1.495,1.669,1.821,2.568,2.535,2.482,2.417,2.134
0.0209,5.00E+07,1.496,1.669,1.821,2.57,2.537,2.484,2.418,2.134
0.021,5.00E+07,1.496,1.668,1.82,2.572,2.539,2.486,2.42,2.135
0.0211,5.00E+07,1.496,1.667,1.82,2.574,2.54,2.487,2.421,2.136
0.0212,5.00E+07,1.496,1.667,1.82,2.575,2.542,2.489,2.423,2.137
0.0213,5.00E+07,1.497,1.666,1.819,2.577,2.544,2.49,2.424,2.137
0.0214,5.00E+07,1.497,1.665,1.819,2.579,2.545,2.492,2.426,2.138
0.0215,5.00E+07,1.497,1.665,1.818,2.58,2.547,2.493,2.427,2.139
0.0216,5.00E+07,1.497,1.664,1.818,2.581,2.548,2.495,2.428,2.139
0.0217,5.00E+07,1.497,1.663,1.817,2.582,2.549,2.496,2.43,2.14
0.0218,5.00E+07,1.497,1.663,1.817,2.584,2.55,2.498,2.431,2.141
0.0219,5.00E+07,1.497,1.662,1.816,2.585,2.552,2.499,2.432,2.141
0.022,5.00E+07,1.497,1.661,1.815,2.586,2.553,2.5,2.434,2.142
0.0221,5.00E+07,1.497,1.66,1.815,2.587,2.553,2.501,2.435,2.143
0.0222,5.00E+07,1.497,1.659,1.814,2.587,2.554,2.503,2.436,2.143
0.0223,5.00E+07,1.497,1.658,1.813,2.588,2.555,2.504,2.437,2.144
0.0224,5.00E+07,1.497,1.657,1.813,2.589,2.556,2.505,2.438,2.145
0.0225,5.00E+07,1.497,1.657,1.812,2.589,2.557,2.506,2.439,2.145
0.0226,5.00E+07,1.497,1.656,1.811,2.59,2.557,2.507,2.44,2.146
0.0227,5.00E+07,1.497,1.655,1.81,2.59,2.558,2.508,2.441,2.146
0.0228,5.00E+07,1.497,1.654,1.81,2.59,2.558,2.509,2.442,2.147
0.0229,5.00E+07,1.497,1.653,1.809,2.591,2.559,2.509,2.443,2.147
0.023,5.00E+07,1.497,1.652,1.808,2.591,2.559,2.51,2.444,2.148
0.0231,5.00E+07,1.497,1.651,1.807,2.591,2.56,2.511,2.445,2.148
0.0232,5.00E+07,1.497,1.65,1.806,2.591,2.56,2.512,2.446,2.149
0.0233,5.00E+07,1.496,1.649,1.805,2.591,2.56,2.512,2.447,2.149
0.0234,5.00E+07,1.495,1.65,1.806,2.593,2.561,2.512,2.445,2.142
0.0235,5.00E+07,1.493,1.651,1.808,2.594,2.562,2.512,2.444,2.134
0.0236,5.00E+07,1.492,1.652,1.809,2.595,2.563,2.512,2.443,2.128
0.0237,5.00E+07,1.492,1.654,1.81,2.597,2.565,2.513,2.443,2.123
0.0238,5.00E+07,1.492,1.655,1.812,2.598,2.566,2.513,2.442,2.119
0.0239,5.00E+07,1.492,1.656,1.813,2.6,2.567,2.513,2.442,2.115
0.024,5.00E+07,1.492,1.658,1.814,2.601,2.569,2.514,2.441,2.112
0.0241,5.00E+07,1.492,1.659,1.816,2.602,2.57,2.514,2.44,2.107
0.0242,5.00E+07,1.492,1.661,1.817,2.602,2.569,2.511,2.436,2.101
0.0243,5.00E+07,1.491,1.662,1.817,2.601,2.567,2.507,2.432,2.095
0.0244,5.00E+07,1.491,1.663,1.818,2.6,2.566,2.504,2.428,2.089
0.0245,5.00E+07,1.491,1.664,1.819,2.6,2.565,2.502,2.425,2.083
0.0246,5.00E+07,1.491,1.666,1.821,2.601,2.566,2.501,2.422,2.078
0.0247,5.00E+07,1.491,1.667,1.822,2.602,2.566,2.5,2.421,2.074
0.0248,5.00E+07,1.491,1.669,1.824,2.603,2.567,2.499,2.419,2.069
0.0249,5.00E+07,1.491,1.671,1.825,2.605,2.569,2.5,2.419,2.066
0.025,5.00E+07,1.491,1.672,1.827,2.607,2.57,2.5,2.419,2.062
0.0251,5.00E+07,1.491,1.674,1.829,2.608,2.572,2.501,2.419,2.059
0.0252,5.00E+07,1.49,1.675,1.83,2.61,2.574,2.503,2.42,2.054
0.0253,5.00E+07,1.493,1.677,1.832,2.612,2.576,2.506,2.423,2.057
0.0254,5.00E+07,1.495,1.679,1.834,2.614,2.578,2.509,2.427,2.06
0.0255,5.00E+07,1.497,1.681,1.836,2.616,2.58,2.512,2.43,2.063
0.0256,5.00E+07,1.5,1.682,1.837,2.618,2.583,2.515,2.433,2.066
0.0257,5.00E+07,1.502,1.684,1.839,2.62,2.585,2.518,2.436,2.069
0.0258,5.00E+07,1.505,1.685,1.84,2.622,2.587,2.521,2.439,2.072
0.0259,5.00E+07,1.507,1.687,1.842,2.624,2.59,2.524,2.442,2.075
0.026,5.00E+07,1.509,1.689,1.844,2.626,2.592,2.527,2.445,2.078
0.0261,5.00E+07,1.512,1.69,1.845,2.628,2.594,2.529,2.449,2.081
0.0262,5.00E+07,1.514,1.692,1.847,2.63,2.596,2.532,2.452,2.084
0.0263,5.00E+07,1.517,1.694,1.849,2.632,2.598,2.536,2.455,2.088
0.0264,5.00E+07,1.519,1.695,1.85,2.633,2.6,2.538,2.458,2.091
0.0265,5.00E+07,1.522,1.697,1.852,2.635,2.602,2.541,2.462,2.094
0.0266,5.00E+07,1.524,1.699,1.854,2.637,2.605,2.544,2.465,2.098
0.0267,5.00E+07,1.527,1.7,1.855,2.639,2.607,2.547,2.468,2.101
0.0268,5.00E+07,1.529,1.702,1.857,2.64,2.609,2.55,2.471,2.105
0.0269,5.00E+07,1.532,1.703,1.858,2.642,2.611,2.553,2.475,2.108
0.027,5.00E+07,1.534,1.705,1.86,2.644,2.613,2.556,2.478,2.112
0.0271,5.00E+07,1.536,1.706,1.861,2.646,2.615,2.559,2.481,2.115
0.0272,5.00E+07,1.539,1.708,1.863,2.647,2.617,2.562,2.485,2.119
0.0273,5.00E+07,1.541,1.709,1.864,2.649,2.619,2.564,2.488,2.122
0.0274,5.00E+07,1.544,1.711,1.865,2.65,2.621,2.567,2.491,2.126
0.0275,5.00E+07,1.546,1.712,1.867,2.652,2.623,2.57,2.494,2.13
0.0276,5.00E+07,1.549,1.714,1.868,2.653,2.624,2.573,2.497,2.133
0.0277,5.00E+07,1.551,1.715,1.869,2.655,2.626,2.575,2.501,2.137
0.0278,5.00E+07,1.554,1.717,1.871,2.656,2.628,2.578,2.504,2.141
0.0279,5.00E+07,1.556,1.717,1.872,2.658,2.63,2.581,2.507,2.146
0.028,5.00E+07,1.559,1.718,1.872,2.659,2.631,2.584,2.511,2.151
0.0281,5.00E+07,1.562,1.719,1.873,2.66,2.633,2.587,2.514,2.157
0.0282,5.00E+07,1.564,1.72,1.874,2.661,2.634,2.589,2.518,2.161
0.0283,5.00E+07,1.566,1.721,1.875,2.662,2.635,2.592,2.521,2.166
0.0284,5.00E+07,1.569,1.722,1.875,2.662,2.637,2.594,2.524,2.171
0.0285,5.00E+07,1.571,1.722,1.876,2.663,2.638,2.597,2.527,2.175
0.0286,5.00E+07,1.573,1.723,1.877,2.664,2.639,2.599,2.53,2.179
0.0287,5.00E+07,1.575,1.724,1.878,2.665,2.64,2.602,2.533,2.183
0.0288,5.00E+07,1.578,1.725,1.878,2.666,2.642,2.604,2.537,2.187
0.0289,5.00E+07,1.58,1.726,1.879,2.667,2.643,2.607,2.539,2.191
0.029,5.00E+07,1.582,1.726,1.88,2.668,2.644,2.609,2.542,2.195
0.0291,5.00E+07,1.584,1.727,1.88,2.668,2.645,2.611,2.546,2.199
0.0292,5.00E+07,1.586,1.728,1.881,2.669,2.647,2.614,2.548,2.203
0.0293,5.00E+07,1.588,1.729,1.882,2.67,2.648,2.616,2.552,2.207
0.0294,5.00E+07,1.59,1.73,1.882,2.671,2.649,2.619,2.555,2.211
0.0295,5.00E+07,1.592,1.73,1.883,2.672,2.65,2.621,2.557,2.215
0.0296,5.00E+07,1.594,1.731,1.884,2.672,2.651,2.623,2.56,2.218
0.0297,5.00E+07,1.596,1.732,1.884,2.673,2.652,2.625,2.563,2.222
0.0298,5.00E+07,1.598,1.733,1.885,2.674,2.653,2.627,2.565,2.225
0.0299,5.00E+07,1.6,1.733,1.886,2.674,2.654,2.628,2.568,2.229
0.03,5.00E+07,1.602,1.734,1.886,2.675,2.655,2.63,2.57,2.232